Breed,Country of Origin,Fur Color,Height (in),Color of Eyes,Longevity (yrs),Character Traits,Common Health Problems
Afghan,Canada,"Yellow, Black, Chocolate",21-24,Brown,10-Dec,"Loyal, friendly, intelligent, energetic, good-natured","Hip dysplasia, obesity, ear infections"
African Wild Dog,Germany,"Black, Tan",22-26,Brown,07-Oct,"Loyal, intelligent, protective, confident, trainable","Hip dysplasia, elbow dysplasia, pancreatitis"
Airedale,England,"White, Red",Dec-16,Brown,08-Oct,"Loyal, calm, gentle, brave","Skin allergies, respiratory issues, obesity"
American Hairless,France,"White, Black, Brown, Apricot",Oct-15,"Brown, Blue",Dec-15,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
American Spaniel,England,"White, Tan, Red, Lemon",13-15,Brown,Dec-15,"Curious, friendly, energetic, good-natured","Ear infections, hip dysplasia, epilepsy"
Basenji,Mexico,"Black, Brown, Tan, White",06-Sep,"Brown, Blue",Dec-20,"Loyal, energetic, confident, sensitive","Dental problems, eye issues, respiratory issues"
Basset,Germany,"Fawn, Brindle",21-25,Brown,10-Dec,"Loyal, energetic, intelligent, playful, protective","Hip dysplasia, cancer, heart conditions"
Beagle,Scotland,Golden,21-24,Brown,10-Dec,"Intelligent, friendly, kind, loyal, good-natured","Hip dysplasia, cancer, skin allergies"
Bearded Collie,China,"Fawn, Black",Oct-14,Brown,Dec-15,"Loyal, playful, affectionate, social, charming","Eye problems, respiratory issues, obesity"
Bermaise,Germany,"Black, Tan",22-27,Brown,08-Oct,"Loyal, protective, confident, strong","Hip dysplasia, cancer, elbow dysplasia"
Bichon Frise,Russia,"Black, White",21-24,Blue,Dec-15,"Independent, energetic, intelligent, playful, strong","Hip dysplasia, eye problems, hereditary myopathy"
Blenheim,Germany,"Black, Tan",05-Sep,"Brown, Blue",Dec-15,"Loyal, energetic, playful, curious","Intervertebral disc disease, hip dysplasia, diabetes"
Bloodhound,China,"Black, White, Brown",09-Oct,Brown,Oct-16,"Affectionate, playful, confident, good-natured","Dental problems, respiratory issues, eye problems"
Bluetick,France,White,09-Nov,Brown,Dec-15,"Playful, affectionate, intelligent, social","Dental problems, eye problems, bladder stones"
Border Collie,Australia,"Black, Red",18-23,"Brown, Blue",Dec-15,"Intelligent, energetic, loyal, trainable","Hip dysplasia, eye problems, epilepsy"
Borzoi,France,"Black, Tan",Nov-15,Brown,10-Dec,"Affectionate, patient, gentle, good-natured","Dental problems, ear infections, obesity"
Boston Terrier,England,"Black, Brown",14-15,Brown,Dec-15,"Affectionate, intelligent, energetic, good-natured","Ear infections, hip dysplasia, eye problems"
Boxer,France,"White, Black, Brindle",11-Dec,Brown,10-Dec,"Affectionate, playful, good-natured","Breathing problems, eye problems, hip dysplasia"
Bull Mastiff,Germany,"Orange, Sable, Black",06-Jul,Brown,Dec-16,"Playful, energetic, intelligent, good-natured","Dental problems, eye problems, obesity"
Bull Terrier,Germany,"Black, Blue, Fawn, Harlequin",28-34,Brown,08-Oct,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, cancer, heart conditions"
Bulldog,England,"Apricot, Fawn",30-34,Brown,08-Oct,"Loyal, gentle, protective, good-natured","Hip dysplasia, heart conditions, cancer"
Cairn,Canada,"Black, Brown, Grey",26-28,Brown,09-Nov,"Loyal, intelligent, gentle, good-natured","Hip dysplasia, heart conditions, cancer"
Chihuahua,Switzerland,"Red, White",26-30,Brown,08-Oct,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, heart conditions"
Chinese Crested,England,"Blue, Grey",22-26,Brown,10-Dec,"Gentle, intelligent, good-natured, protective","Hip dysplasia, eye problems, skin allergies"
Chow,Ireland,"Grey, Red, Black",30-35,Brown,06-Aug,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, heart conditions, cancer"
Clumber,England,"Black, White, Brindle",26-30,Brown,10-Dec,"Intelligent, athletic, sensitive, good-natured","Hip dysplasia, eye problems, heart conditions"
Cockapoo,Scotland,"Blue, Grey",28-32,Brown,08-Oct,"Gentle, intelligent, good-natured, independent","Hip dysplasia, heart conditions, cancer"
Cocker,France,White,25-32,Brown,10-Dec,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, skin allergies"
Collie,China,"Cream, Fawn",18-20,Brown,08-Dec,"Independent, loyal, intelligent, good-natured","Skin allergies, eye problems, hip dysplasia"
Corgi,Germany,"Black, Red",24-28,Brown,10-Dec,"Loyal, energetic, intelligent, protective","Hip dysplasia, heart conditions, cancer"
Coyote,Germany,"Silver, Grey",25-29,"Blue, Grey",10-Dec,"Energetic, intelligent, good-natured, loyal","Hip dysplasia, eye problems, cancer"
Dalmation,Belgium,"Fawn, Mahogany",22-26,Brown,Dec-14,"Intelligent, energetic, loyal, protective","Hip dysplasia, eye problems, skin allergies"
Dhole,Rhodesia,Light Wheaten,25-27,Brown,10-Dec,"Intelligent, athletic, loyal, good-natured","Hip dysplasia, eye problems, cancer"
Dingo,England,"Black, White, Liver",23-27,Brown,Dec-15,"Intelligent, energetic, affectionate, good-natured","Hip dysplasia, eye problems, cancer"
Doberman,England,"Black, White, Liver",21-27,Brown,Dec-15,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Elk Hound,Scotland,"Black, Tan",23-27,Brown,Dec-15,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
French Bulldog,Ireland,Red,24-28,Brown,Dec-15,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
German Sheperd,France,"White, Black, Sable, Red",08-Nov,Brown,14-16,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, bladder stones"
Golden Retriever,China,"Black, White, Red",06-Sep,Brown,Dec-15,"Independent, intelligent, affectionate, good-natured","Dental problems, respiratory issues, eye problems"
Great Dane,France,"White, Black, Brown, Apricot",10-Nov,"Brown, Blue",Dec-15,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Great Perenees,France,"White, Black, Brown, Apricot",Oct-15,"Brown, Blue",Dec-15,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Greyhound,France,"White, Black, Brown, Apricot",15-22,"Brown, Blue",Dec-15,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Groenendael,Germany,"Black, Brown, Red",09-Nov,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye problems, skin allergies"
Irish Spaniel,United States,"Black, White",15-17,Brown,Nov-13,"Intelligent, energetic, affectionate, good-natured","Eye problems, respiratory issues, skin allergies"
Irish Wolfhound,Belgium,"Black, Red",07-Oct,Brown,Dec-15,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, respiratory issues"
Japanese Spaniel,Scotland,"Black, Wheaten, Red",10-Dec,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye problems, skin allergies"
Komondor,China,"Pink, White, Black",Nov-13,Brown,13-18,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, skin allergies"
Labradoodle,Germany,"Black, Salt & Pepper, White",Dec-14,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, pancreatitis, diabetes"
Labrador,Germany,"Black, Salt & Pepper",18-20,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, pancreatitis, diabetes"
Lhasa,Scotland,White,11-Dec,Brown,Dec-16,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Malinois,Australia,"Red, Black & Tan",10-Nov,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Maltese,England,"Red, Wheaten, Black",Oct-16,Brown,Dec-16,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Mex Hairless,Madagascar,White,09-Nov,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Newfoundland,England,"White, Blenheim",10-Dec,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Pekinese,Australia,"Red, Black",17-20,Brown,Dec-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Pit Bull,China,"Black, Fawn",Oct-14,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, respiratory issues, eye problems"
Pomeranian,United States,White,15-19,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Poodle,Australia,"Blue, Red",17-20,Brown,Dec-16,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Pug,France,"Black, White, Red",Nov-15,Brown,10-Dec,"Gentle, good-natured, loyal, intelligent","Dental problems, eye issues, skin allergies"
Rhodesian,Australia,"Red, Black",17-20,Brown,Dec-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Rottweiler,England,"Red, Black",22-27,Brown,10-Dec,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Saint Bernard,England,"Black, White, Red",18-22,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Schnauzer,Australia,Blue Merle,20-23,Brown,Dec-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Scotch Terrier,United States,"White, Red",20-28,Brown,10-Dec,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Shar_Pei,Australia,"Black, Red",18-23,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Shiba Inu,Russia,"White, Cream, Red",26-29,Brown,10-Dec,"Gentle, good-natured, loyal, intelligent","Dental problems, eye issues, skin allergies"
Shih-Tzu,England,"White, Red",20-22,Brown,10-Dec,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Siberian Husky,Italy,"Black, Red",22-28,Brown,10-Dec,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Vizsla,Wales,"Red, Sable, Black",10-Dec,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Yorkie,United States,"Brown, Tan",21-26,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
